strategy,category,subcategory,option_a,option_b,source,timestamp
pick_the_first_lexicographically,Lexicographic,ascending,,,,
lexicographic_minimum_selection,Lexicographic,ascending,,,,
optimal,Failures,specified_word,,,,
unity,Failures,specified_word,,,,
success,Failures,specified_word,,,,
peace,Failures,specified_word,,,,
order_bias,Failures,other,,,,
playfulness,Failures,specified_word,,,,
profound,Failures,specified_word,,,,
serenity,Failures,specified_word,,,,
order_of_options,Positional,ambiguous,,,,
first_available_selection,Positional,first,,,,
highest_alphabetical,Lexicographic,ascending,,,,
pick_the_first,Positional,first,,,,
firstoptionstrategy,Positional,first,,,,
pickfirstvisibleword,Positional,first,,,,
alwayspickfirstoption,Positional,first,,,,
pickfirst,Positional,first,,,,
pickfirstvisible,Positional,first,,,,
pickfirstoption,Positional,first,,,,
coordinate_on_first,Positional,first,,,,
shortest_word_strategy,Length,shorter,,,,
first_option_alignment,Positional,first,,,,
pick_first_sorted,Positional,first,,,,
lexicographical-first,Lexicographic,ascending,,,,
pick_first_lexicographically,Lexicographic,ascending,,,,
default_selection,Failures,other,,,,
first_available_choice,Positional,first,,,,
convention_on_first_lexicographically,Lexicographic,ascending,,,,
first_option_consistency,Positional,first,,,,
consensus,Failures,meta-awareness,,,,
first_word_strategy,Positional,first,,,,
first_option_flooring,Failures,specified_word,,,,
pick_the_first_word,Positional,first,,,,
wisdom,Failures,specified_word,,,,
pick_first_alphabetically,Lexicographic,ascending,,,,
first-word,Positional,first,,,,
first_word_consensus,Positional,first,,,,
semantic_order_invariance,Salience,ambiguous,,,,
pick-first-option,Positional,first,,,,
firstoptionconsistency,Positional,first,,,,
first-option,Positional,first,,,,
firstoptionconsensus,Positional,first,,,,
random_select_first,Positional,first,,,,
a_priori_alphabetical,Lexicographic,ascending,,,,
reverse_order_coordination,Positional,second,,,,
consensus_reaching,Failures,meta-awareness,,,,
frequency_of_use,Frequency,ambiguous,,,,
alphabeticalfirst,Lexicographic,ascending,,,,
first_word_seen,Positional,first,,,,
alphabetical-priority,Lexicographic,ascending,,,,
alphabetic-first,Lexicographic,ascending,,,,
positive_sentiment,Salience,positive,,,,
first_word_in_list,Positional,first,,,,
lexical_precedence,Lexicographic,ambiguous,,,,
first-option-pick,Positional,first,,,,
shortest_word_priority,Length,shorter,,,,
first-word-alphabetical,Lexicographic,ascending,,,,
alphabetical_parity,Lexicographic,ascending,,,,
first-listed_coordinator,Positional,first,,,,
first_word_heuristic,Positional,first,,,,
choose_shorter,Length,shorter,,,,
alphabeticallast,Lexicographic,descending,,,,
simpler_for_both_to_get_to,Failures,other,,,,
wondrous,Failures,specified_word,,,,
first_word_picking,Positional,first,,,,
agreement_on_first_option,Positional,first,,,,
pick_second,Positional,second,,,,
first_choice_matching,Positional,first,,,,
coordinate_on_third_choice,Failures,impossible_strategy,,,,
coordinate_with_twin,Failures,meta-awareness,,,,
baseline_selection,Failures,other,,,,
first_word_agreement,Positional,first,,,,
firstlistedwordchoice,Positional,first,,,,
first_word_favored,Positional,first,,,,
pick_first_presentation_order,Positional,first,,,,
first_word_fallback,Positional,first,,,,
both_chose_first,Positional,first,,,,
common_sense_first,Positional,first,,,,
lexicographic_coordinate,Lexicographic,ascending,,,,
synchrony_by_first_option,Positional,first,,,,
random_seed,Failures,impossible_strategy,,,,
majority_decision,Failures,impossible_strategy,,,,
majority_selection,Failures,impossible_strategy,,,,
majority_default,Failures,impossible_strategy,,,,
pivot_coordinate,Failures,meta-awareness,,,,
coordinate_by_majority,Failures,impossible_strategy,,,,
coincidence,Failures,specified_word,,,,
majority_rule,Failures,impossible_strategy,,,,
alphabetic_first,Lexicographic,ascending,,,,
wonder,Failures,specified_word,,,,
both_pick_first,Positional,first,,,,
lexical_firstness,Lexicographic,ascending,,,,
common_coordinate,Failures,meta-awareness,,,,
abundance_bias,Failures,other,,,,
wholesome,Failures,specified_word,,,,
word_ambiguity,Other_Non-semantic,other,,,,
word_order_consensus,Failures,meta-awareness,,,,
warmth,Failures,specified_word,,,,
word_position,Failures,other,,,,
semantic_dominance,Salience,ambiguous,,,,
first_by_alphabet,Lexicographic,ascending,,,,
alphabetic_precedence,Lexicographic,ascending,,,,
lowest_common_denominator,Failures,other,,,,
lowest_alphabetical,Lexicographic,ascending,,,,
word_preference,Failures,other,,,,
shared_randomness,Failures,impossible_strategy,,,,
shared_random_choice,Failures,impossible_strategy,,,,
affinity_for_liveliness,Salience,positive,,,,
asphalt,Failures,specified_word,,,,
word_position_agreement,Failures,meta-awareness,,,,
convergence,Failures,other,,,,
better_coordinate,Failures,meta-awareness,,,,
coordinated_consensus,Failures,meta-awareness,,,,
uniqueness,Failures,other,,,,
coordinate,Failures,meta-awareness,,,,
first_alphabetical_order,Lexicographic,ascending,,,,
emotional_tone,Salience,ambiguous,,,,
perfection,Failures,specified_word,,,,
cohesion,Failures,other,,,,
associative_preference,Salience,ambiguous,,,,
reverse_order_strategy,Failures,other,,,,
lexical_first,Lexicographic,ascending,,,,
lexicographical_priority,Lexicographic,ascending,,,,
alphabetical_precedence,Lexicographic,ascending,,,,
harmony,Failures,specified_word,,,,
coordination_aid,Failures,meta-awareness,,,,
positivity,Salience,positive,,,,
ordering,Lexicographic,ascending,,,,
balance,Salience,ambiguous,,,,
word_commonness,Frequency,common,,,,
consistent_coordination_with_twin,Failures,meta-awareness,,,,
agreement,Failures,meta-awareness,,,,
alignment,Failures,other,,,,
lexical-coordination,Failures,meta-awareness,,,,
alphabetic_position,Lexicographic,ascending,,,,
length_heuristic,Length,ambiguous,,,,
reverse_order_priority,Positional,second,,,,
first_option_first,Positional,first,,,,
even_distribution,Failures,other,,,,
last_letter_matching,Other_Non-semantic,other,,,,
even_length,Length,ambiguous,,,,
least_letters,Length,shorter,,,,
average,Failures,specified_word,,,,
approach_name,Failures,other,,,,
hinge,Failures,specified_word,,,,
superb,Failures,specified_word,,,,
option_order,Positional,ambiguous,,,,
reverse_order_assumption,Failures,other,,,,
serendipity,Failures,specified_word,,,,
vitality,Failures,specified_word,,,,
order_precedence,Positional,first,,,,
tenderness,Failures,specified_word,,,,
primacy,Positional,first,,,,
phenomenal,Failures,specified_word,,,,
initial_letter,Lexicographic,ascending,,,,
order_presentation,Positional,first,,,,
instance_order,Failures,meta-awareness,,,,
position_in_list,Positional,ambiguous,,,,
position_order,Positional,ambiguous,,,,
first-option-consensus,Positional,first,,,,
pick_first_visible,Positional,first,,,,
pick-the-better-coordination-device,Failures,meta-awareness,,,,
first-listed-option,Positional,first,,,,
pick_the_lexicographically_first_option,Lexicographic,ascending,,,,
picking_the_first_lexicographically,Lexicographic,ascending,,,,
majoritychoice,Failures,impossible_strategy,,,,
consensus-through-priority,Failures,meta-awareness,,,,
firstwordstrategy,Positional,first,,,,
lexicographic_leader,Lexicographic,ascending,,,,
first_principle_selection,Failures,meta-awareness,,,,
first-word-first,Positional,first,,,,
firstwordpreference,Positional,first,,,,
arbitrary_symmetry,Failures,impossible_strategy,,,,
lexical_middle_select,Lexicographic,ambiguous,,,,
select_lexicographically_first,Lexicographic,ascending,,,,
select_first_lexicographically,Lexicographic,ascending,,,,
pick_first_word,Positional,first,,,,
firstwordconsensus,Positional,first,,,,
majority-rule,Failures,impossible_strategy,,,,
first_choice_standardization,Positional,first,,,,
first_consensus,Positional,first,,,,
first_impression_consensus,Failures,other,,,,
choose_positive,Salience,positive,,,,
alphabeticalorder,Lexicographic,ascending,,,,
last_word_seen,Positional,ambiguous,,,,
first-option-default,Positional,first,,,,
dual_consensus,Failures,meta-awareness,,,,
alphabetic_selection,Lexicographic,ascending,,,,
first_word_on_list,Positional,first,,,,
earliest-in-list,Positional,first,,,,
wordlength,Length,ambiguous,,,,
pick-one-and-stick,Failures,other,,,,
first-option-selection,Positional,first,,,,
preference_for_positive_valence,Salience,positive,,,,
first-word-alphabetical-order,Lexicographic,ascending,,,,
alphabetic_preference,Lexicographic,ascending,,,,
shorter_word_preference,Length,shorter,,,,
alphabetical_length,Failures,other,,,,
alphabetical_pivot,Lexicographic,ascending,,,,
length_priority,Length,ambiguous,,,,
leftmost_item_selection,Positional,first,,,,
first_option_only,Positional,first,,,,
choose_the_first_option,Positional,first,,,,
coordinated_order,Failures,meta-awareness,,,,
length_and_complexity,Length,ambiguous,,,,
first_option_alphabetical,Lexicographic,ascending,,,,
alpha_order,Lexicographic,ascending,,,,
lexical_priority,Lexicographic,ambiguous,,,,
lexical_order_strategy,Lexicographic,ambiguous,,,,
lexical_alphabetical_sorting,Lexicographic,ascending,,,,
lexical_optimism,Lexicographic,ambiguous,,,,
lexical_alignment,Lexicographic,ambiguous,,,,
strategy_name,Failures,refusal,,,,
i,Failures,other,,,,
mirror,Failures,other,,,,
mirror_strategy,Failures,other,,,,
alphabetical-ordering,Lexicographic,ascending,,,,
coordination_by_alphabetical_order,Lexicographic,ascending,,,,
coordination_through_alphabetical_ordering,Lexicographic,ascending,,,,
choose_serendipity,Salience,positive,,,,
randomselection,Random,none,,,,
lexicographical-order,Lexicographic,ascending,,,,
lexicographic-first,Lexicographic,ascending,,,,
lexicographic-order,Lexicographic,ascending,,,,
association,Other_Semantic,ambiguous,,,,
lexical_analysis,Other_Non-semantic,other,,,,
common_substring,Other_Non-semantic,other,,,,
contextual_analysis,Failures,other,,,,
elimination,Failures,other,,,,
contextual_relevance,Other_Semantic,ambiguous,,,,
coordination_on_first_option,Positional,first,,,,
common_alphabetical_ordering,Lexicographic,ascending,,,,
coordination_by_first_option,Positional,first,,,,
common_default_first_option,Positional,first,,,,
matching_first_option,Positional,first,,,,
common_default_first,Positional,first,,,,
coordination_by_alphabetical_ordering,Lexicographic,ascending,,,,
focal_point_strategy,Failures,other,,,,
coordination_by_salience,Salience,ambiguous,,,,
alphabeticalpriority,Lexicographic,ascending,,,,
lexicalassociation,Other_Non-semantic,other,,,,
occam,Failures,other,,,,
lexicalrichness,Other_Non-semantic,other,,,,
random_choice_random_word,Random,none,,,,
emotional_valence,Salience,ambiguous,,,,
heuristic_name,Salience,positive,,,,
lexical_alphabetical_heuristic,Lexicographic,ascending,,,,
lexical_semantic_heuristic,Other_Semantic,ambiguous,,,,
lexical_optimality,Other_Non-semantic,other,,,,
lexical_semantic_saliency,Other_Semantic,ambiguous,,,,
lexical_alphabetical,Lexicographic,ascending,,,,
lexical_alphabetical_optimization,Lexicographic,ascending,,,,
lexical_alphabetical_orientation,Lexicographic,ascending,,,,
lexical_optimism_bias,Salience,positive,,,,
lexical_alphabetical_option,Lexicographic,ascending,,,,
lexical_semantic_analysis,Salience,ambiguous,,,,
lexical_randomness,Failures,other,,,,
frequency,Frequency,ambiguous,,,,
common_prefix,Other_Non-semantic,other,,,,
semantic_polarity,Salience,ambiguous,,,,
semantic_relatedness,Other_Semantic,ambiguous,,,,
ambiguity_resolution,Failures,other,,,,
preference_for_positive_adjectives,Salience,positive,,,,
rarity,Frequency,rare,,,,
specificity,Other_Non-semantic,other,,,,
concreteness,Other_Non-semantic,other,,,,
semantic_contrast,Other_Semantic,other,,,auto_kimi_k2,2025-11-01T21:30:36.602777
word_association,Other_Semantic,abstract_concrete,,,auto_kimi_k2,2025-11-01T21:31:16.505242
lexical_association,Other_Semantic,abstract_concrete,,,auto_kimi_k2,2025-11-01T21:31:18.845862
mirroring,Failures,meta-awareness,playfulness,generic,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Other_Semantic,ambiguous | Sonnet: Failures,meta-awareness",2025-11-02T22:31:00.711326
reverse_order_mirror,Positional,second,unity,gutter,dual_agree,,2025-11-02T22:31:03.944518
lexical_contrast,Other_Semantic,ambiguous,perfection,insipid,dual_agree,,2025-11-02T22:33:48.931137
semantic_analysis,Other_Semantic,ambiguous,unity,insipid,dual_agree,,2025-11-02T22:33:50.345783
mirror_order,Failures,meta-awareness,unity,generic,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Positional,ambiguous | Sonnet: Failures,meta-awareness",2025-11-03T00:34:07.269627
coordinated_choice,Failures,meta-awareness,optimal,average,dual_agree,,2025-11-04T00:31:14.719086
randomchoice,Random,none,serenity,cubicle,dual_agree,,2025-11-04T00:31:24.941729
symmetry_breaking,Failures,meta-awareness,wisdom,generic,dual_agree,,2025-11-04T01:10:10.132687
top-to-bottom,Positional,first,virtue,insipid,sonnet_tiebreaker,"Kimi: Positional,ambiguous | GPT: Positional,first | Sonnet: Positional,first",2025-11-04T01:17:35.379800
order-invariance,Failures,meta-awareness,optimal,average,dual_agree,,2025-11-04T01:17:46.106284
topological,Other_Semantic,ambiguous,success,generic,dual_agree,,2025-11-04T01:18:10.875013
top,Positional,first,vitality,bland,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Positional,first",2025-11-04T01:18:40.104635
order-based,Positional,ambiguous,vitality,dowel,sonnet_tiebreaker,"Kimi: Positional,ambiguous | GPT: Lexicographic,ambiguous | Sonnet: Positional,ambiguous",2025-11-04T01:19:06.008184
cooperative,Failures,meta-awareness,virtue,insipid,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Failures,meta-awareness | Sonnet: Failures,meta-awareness",2025-11-04T01:20:05.297601
mutual,Failures,meta-awareness,virtue,generic,dual_agree,,2025-11-04T01:20:07.632300
contextual,Other_Semantic,ambiguous,virtue,insipid,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Other_Semantic,ambiguous",2025-11-04T01:20:31.408605
coherence-based,Other_Semantic,ambiguous,virtue,beige,dual_agree,,2025-11-04T01:20:34.463413
pairwise,Failures,other,virtue,asphalt,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Other_Semantic,ambiguous | Sonnet: Failures,other",2025-11-04T01:20:58.417030
coherence,Other_Semantic,ambiguous,virtue,carpet,dual_agree,,2025-11-04T01:21:00.957574
pairing,Failures,other,virtue,carpet,dual_kimi_minor,"Kimi: Failures,other | GPT: Failures,meta-awareness",2025-11-04T01:21:03.616095
consensus-building,Failures,meta-awareness,peace,insipid,dual_agree,,2025-11-04T01:21:06.611097
pair,Failures,other,peace,brick,dual_agree,,2025-11-04T01:21:11.279651
disambiguation,Failures,meta-awareness,wholesome,generic,dual_agree,,2025-11-04T01:21:23.937567
consistency_check,Failures,meta-awareness,wholesome,asphalt,dual_agree,,2025-11-04T01:21:27.261343
shared,Failures,meta-awareness,serendipity,cement,dual_agree,,2025-11-04T01:21:33.561265
synonym,Other_Semantic,other,tenderness,insipid,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Other_Semantic,other",2025-11-04T01:22:17.171428
semantic,Other_Semantic,ambiguous,tenderness,cement,dual_agree,,2025-11-04T01:22:20.370048
associative,Other_Semantic,ambiguous,warmth,asphalt,dual_agree,,2025-11-04T01:22:25.642062
coordinated,Failures,meta-awareness,superb,dowel,dual_agree,,2025-11-04T01:22:50.717574
contrastive,Other_Semantic,ambiguous,phenomenal,insipid,dual_agree,,2025-11-04T01:22:52.518498
definition_matching,Other_Semantic,ambiguous,virtue,insipid,dual_agree,,2025-11-04T01:23:20.392912
meaning_analysis,Other_Semantic,ambiguous,optimal,grout,dual_agree,,2025-11-04T01:23:28.784479
meaning_comparison,Other_Semantic,ambiguous,wholesome,dowel,dual_agree,,2025-11-04T01:23:40.995490
consistent,Failures,meta-awareness,wonderful,bland,dual_agree,,2025-11-04T01:23:50.711016
antonym_detection,Other_Semantic,ambiguous,vitality,insipid,dual_agree,,2025-11-04T01:24:04.663884
commonality,Frequency,common,unity,grout,sonnet_tiebreaker,"Kimi: Frequency,ambiguous | GPT: Frequency,common | Sonnet: Frequency,common",2025-11-04T01:24:47.197465
choose_first_lexical,Lexicographic,ascending,peace,generic,dual_agree,,2025-11-04T01:25:08.914977
lexical_symmetry,Other_Non-semantic,other,wisdom,insipid,dual_agree,,2025-11-04T01:25:21.640797
consensus_by_default,Failures,meta-awareness,success,gravel,dual_agree,,2025-11-04T01:25:54.912987
mirror_agreement,Failures,meta-awareness,success,grout,dual_agree,,2025-11-04T01:25:57.139946
majority_consensus,Failures,impossible_strategy,success,flooring,dual_agree,,2025-11-04T01:26:00.946105
mirror_picking,Failures,other,success,hinge,dual_kimi_minor,"Kimi: Failures,other | GPT: Failures,meta-awareness",2025-11-04T01:26:03.734529
shared_emotional_connotation,Other_Semantic,ambiguous,tenderness,bland,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Salience,ambiguous | Sonnet: Other_Semantic,ambiguous",2025-11-04T01:26:34.541474
convention,Failures,meta-awareness,tenderness,flooring,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Other_Semantic,other | Sonnet: Failures,meta-awareness",2025-11-04T01:27:00.090639
symmetry_coordination,Failures,meta-awareness,perfection,generic,dual_agree,,2025-11-04T01:27:15.931512
consensus_by_lexicographical_order,Lexicographic,ambiguous,playfulness,brick,dual_agree,,2025-11-04T01:27:29.812044
parity_bias,Other_Non-semantic,other,superb,insipid,sonnet_tiebreaker,"Kimi: Positional,ambiguous | GPT: Other_Non-semantic,other | Sonnet: Other_Non-semantic,other",2025-11-04T01:27:56.985808
lexical-first,Lexicographic,ascending,superb,gravel,dual_agree,,2025-11-04T01:27:58.548532
lexicographicselection,Lexicographic,ambiguous,phenomenal,drywall,dual_agree,,2025-11-04T01:28:07.888628
mirror_consensus,Failures,meta-awareness,unity,hinge,dual_agree,,2025-11-04T01:28:21.722863
semantic_matching,Other_Semantic,ambiguous,virtue,bland,dual_agree,,2025-11-04T01:28:36.358061
middle-out,Failures,other,virtue,gutter,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Failures,other",2025-11-04T01:29:03.986585
pickthelexicographicallyfirstoption,Lexicographic,ascending,virtue,gutter,dual_agree,,2025-11-04T01:29:05.284177
strategy_random_choice_with_consistent_ordering,Failures,meta-awareness,virtue,insipid,sonnet_tiebreaker,"Kimi: Failures,impossible_strategy | GPT: Random,none | Sonnet: Failures,meta-awareness",2025-11-04T01:29:42.047546
common_anchor_word,Frequency,common,virtue,cubicle,dual_agree,,2025-11-04T01:29:44.772976
basic_consistency,Failures,meta-awareness,virtue,drywall,dual_agree,,2025-11-04T01:29:47.704116
pick_first_item,Positional,first,virtue,carpet,dual_agree,,2025-11-04T01:29:49.238376
first_mention_adoption,Positional,first,virtue,duct,dual_agree,,2025-11-04T01:29:50.713111
first_selection_memory,Positional,first,virtue,dowel,dual_agree,,2025-11-04T01:29:52.550665
first_word_default,Positional,first,peace,bland,dual_agree,,2025-11-04T01:29:54.155303
arbitrary_coordinate,Failures,meta-awareness,peace,caulk,dual_agree,,2025-11-04T01:29:56.262813
select_first_lexicographic,Lexicographic,ascending,peace,grout,dual_agree,,2025-11-04T01:29:57.779497
anchor_first,Positional,first,peace,cement,dual_agree,,2025-11-04T01:29:59.290554
lexical_choice,Other_Semantic,ambiguous,peace,gypsum,dual_agree,,2025-11-04T01:30:01.017443
majority_color,Failures,impossible_strategy,peace,drywall,dual_agree,,2025-11-04T01:30:03.148535
broken_symmetry,Failures,meta-awareness,optimal,insipid,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Other_Semantic,ambiguous | Sonnet: Failures,meta-awareness",2025-11-04T01:30:23.526890
bucket_sort,Other_Non-semantic,other,optimal,bland,dual_agree,,2025-11-04T01:30:26.928616
twin_caulk,Failures,specified_word,optimal,caulk,dual_agree,,2025-11-04T01:30:30.202182
picking_first_visible_option,Positional,first,optimal,gravel,dual_agree,,2025-11-04T01:30:32.032302
lexicographical_minimization,Lexicographic,ascending,optimal,grout,dual_agree,,2025-11-04T01:30:33.774878
select_second,Positional,second,optimal,beige,dual_agree,,2025-11-04T01:30:35.179992
select_the_first,Positional,first,optimal,gypsum,dual_agree,,2025-11-04T01:30:36.765197
consensus_on_reverse_order_awareness,Failures,meta-awareness,optimal,drywall,dual_agree,,2025-11-04T01:30:38.615931
choose_first_alpha,Lexicographic,ascending,optimal,dowel,dual_agree,,2025-11-04T01:30:40.277996
random_reversed_order_alignment,Random,none,optimal,brick,dual_agree,,2025-11-04T01:30:41.725982
fixed_selection,Failures,other,wisdom,gutter,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Non-semantic,other | Sonnet: Failures,other",2025-11-04T01:31:09.582330
picking_first_option,Positional,first,optimal,hinge,dual_agree,,2025-11-04T01:31:10.846239
lexical_coordinate,Lexicographic,ambiguous,wisdom,insipid,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Lexicographic,ambiguous | Sonnet: Lexicographic,ambiguous",2025-11-04T01:31:33.481934
gravel,Failures,specified_word,wisdom,gravel,dual_agree,,2025-11-04T01:31:35.028882
consensus_selection,Failures,meta-awareness,wisdom,gravel,dual_agree,,2025-11-04T01:31:36.879582
coin_flipping_with_deterministic_order_bias,Random,none,wisdom,grout,dual_agree,,2025-11-04T01:31:38.307059
pick_first_alphabetical,Lexicographic,ascending,wisdom,cubicle,dual_agree,,2025-11-04T01:31:39.923059
majority_coordination,Failures,impossible_strategy,wisdom,cement,dual_agree,,2025-11-04T01:31:41.368555
first_option_always,Positional,first,wisdom,asphalt,dual_agree,,2025-11-04T01:31:42.588266
word_alphabetically_first,Lexicographic,ascending,wisdom,beige,dual_agree,,2025-11-04T01:31:43.917788
consensus_token_convergence,Failures,meta-awareness,wisdom,average,dual_agree,,2025-11-04T01:31:45.847604
gypsum,Failures,specified_word,wisdom,gypsum,dual_agree,,2025-11-04T01:31:47.845363
common_word,Frequency,common,wisdom,brick,dual_agree,,2025-11-04T01:31:49.633213
pickfirstvisibleoption,Positional,first,serenity,generic,dual_agree,,2025-11-04T01:31:51.290081
word_frequency,Frequency,ambiguous,serenity,cement,dual_agree,,2025-11-04T01:31:53.179396
anchor_word_selection,Failures,other,serenity,carpet,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Failures,meta-awareness | Sonnet: Failures,other",2025-11-04T01:32:24.401215
lexicographic_max,Lexicographic,descending,serenity,gypsum,dual_agree,,2025-11-04T01:32:26.290244
firstwordalphabetical,Lexicographic,ascending,serenity,average,dual_agree,,2025-11-04T01:32:28.139505
default_strategy,Failures,other,serenity,duct,dual_kimi_minor,"Kimi: Failures,other | GPT: Failures,meta-awareness",2025-11-04T01:32:30.387874
pick_last_lexicographically,Lexicographic,descending,serenity,hinge,dual_agree,,2025-11-04T01:32:31.890839
word_coordination,Failures,meta-awareness,wholesome,gutter,dual_agree,,2025-11-04T01:32:33.392271
arbitrary_pick,Random,none,wholesome,bland,dual_agree,,2025-11-04T01:32:34.771971
common_word_priority,Frequency,common,wholesome,gravel,dual_agree,,2025-11-04T01:32:36.645775
default_first_choice,Positional,first,wholesome,beige,dual_agree,,2025-11-04T01:32:37.942538
drywall,Failures,specified_word,wholesome,drywall,dual_agree,,2025-11-04T01:32:39.890195
convergent_selection,Failures,meta-awareness,wholesome,brick,dual_agree,,2025-11-04T01:32:41.797376
pivot_selection,Failures,other,wholesome,brick,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Non-semantic,other | Sonnet: Failures,other",2025-11-04T01:33:08.202752
selectfirstoption,Positional,first,serendipity,gutter,dual_agree,,2025-11-04T01:33:09.665025
common_word_selection,Frequency,common,serendipity,gutter,dual_agree,,2025-11-04T01:33:10.989692
first_choice_picking,Positional,first,serendipity,bland,dual_agree,,2025-11-04T01:33:12.576370
default_choice,Failures,meta-awareness,serendipity,insipid,dual_agree,,2025-11-04T01:33:14.346344
caulk,Failures,specified_word,serendipity,caulk,dual_agree,,2025-11-04T01:33:16.383635
first_word_anchor,Positional,first,serendipity,caulk,dual_agree,,2025-11-04T01:33:17.875596
firstoptionselection,Positional,first,serendipity,cubicle,dual_agree,,2025-11-04T01:33:19.417211
picking_second_option,Positional,second,serendipity,asphalt,dual_agree,,2025-11-04T01:33:20.970195
random_agreement,Random,none,serendipity,cement,sonnet_tiebreaker,"Kimi: Failures,impossible_strategy | GPT: Random,none | Sonnet: Random,none",2025-11-04T01:33:47.361808
first_word_parity,Other_Non-semantic,other,serendipity,dowel,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Positional,first | Sonnet: Other_Non-semantic,other",2025-11-04T01:34:17.519417
pickfirstalphabetically,Lexicographic,ascending,serendipity,brick,dual_agree,,2025-11-04T01:34:18.756418
first_option_fallback,Positional,first,wonder,gutter,dual_agree,,2025-11-04T01:34:22.308925
coordinate_by_considering_first_option,Positional,first,wonder,generic,dual_agree,,2025-11-04T01:34:24.022913
first-listed-choice,Positional,first,wonder,beige,dual_agree,,2025-11-04T01:34:26.114597
first-word-agreement,Positional,first,wonder,asphalt,dual_agree,,2025-11-04T01:34:28.008642
sma_first,Positional,first,wonder,carpet,dual_agree,,2025-11-04T01:34:30.798275
wonderful,Failures,specified_word,wonderful,bland,dual_agree,,2025-11-04T01:34:33.779897
consensus_default,Failures,meta-awareness,wonderful,generic,dual_agree,,2025-11-04T01:34:36.073693
choosefirstoption,Positional,first,wonderful,generic,dual_agree,,2025-11-04T01:34:38.048292
tie_breaking_rule,Failures,meta-awareness,wonderful,caulk,dual_agree,,2025-11-04T01:34:39.832505
majority_coordinate,Failures,impossible_strategy,wonderful,caulk,dual_agree,,2025-11-04T01:34:41.372249
pick_earlier_alphabetical,Lexicographic,ascending,wonderful,gravel,dual_agree,,2025-11-04T01:34:42.819781
coordinated_selection,Failures,meta-awareness,wonderful,beige,dual_agree,,2025-11-04T01:34:45.125842
first_consistent,Positional,first,wonderful,asphalt,dual_agree,,2025-11-04T01:34:46.993524
bigger_word,Length,longer,wonderful,duct,dual_agree,,2025-11-04T01:34:49.310175
majority_choice,Failures,impossible_strategy,wonderful,brick,dual_agree,,2025-11-04T01:34:51.200405
success_bias,Failures,specified_word,success,bland,sonnet_tiebreaker,"Kimi: Failures,specified_word | GPT: Salience,positive | Sonnet: Failures,specified_word",2025-11-04T01:35:18.931464
pick-first-word,Positional,first,success,caulk,dual_agree,,2025-11-04T01:35:20.564399
first_lexical_anchor,Lexicographic,ascending,success,beige,dual_agree,,2025-11-04T01:35:23.055464
simpler_word_first,Positional,first,success,carpet,sonnet_tiebreaker,"Kimi: Other_Semantic,complexity | GPT: Length,shorter | Sonnet: Positional,first",2025-11-04T01:35:52.156714
turing_test,Failures,meta-awareness,success,brick,dual_kimi_minor,"Kimi: Failures,meta-awareness | GPT: Failures,other",2025-11-04T01:35:55.345513
coordinate_on_first_seen,Positional,first,success,brick,dual_agree,,2025-11-04T01:35:57.217806
pick_the_alphabetically_first_word,Lexicographic,ascending,tenderness,insipid,dual_agree,,2025-11-04T01:35:58.680870
preference_agreement,Failures,meta-awareness,tenderness,generic,dual_agree,,2025-11-04T01:36:00.142135
balance_symmetry,Other_Semantic,ambiguous,tenderness,cubicle,dual_agree,,2025-11-04T01:36:02.030074
reverse_consensus,Positional,second,tenderness,asphalt,sonnet_tiebreaker,"Kimi: Positional,second | GPT: Failures,meta-awareness | Sonnet: Positional,second",2025-11-04T01:36:25.667690
first_word_alpha,Lexicographic,ascending,tenderness,flooring,dual_agree,,2025-11-04T01:36:27.984149
parity_picking,Other_Non-semantic,other,tenderness,brick,dual_agree,,2025-11-04T01:36:30.508513
lexical-ordering,Lexicographic,ambiguous,warmth,bland,dual_agree,,2025-11-04T01:36:32.550884
consensus_heuristic,Failures,meta-awareness,warmth,caulk,dual_agree,,2025-11-04T01:36:34.439894
first_word_pick,Positional,first,warmth,caulk,dual_agree,,2025-11-04T01:36:35.698228
consensus_seeking,Failures,none,warmth,average,dual_kimi_minor,"Kimi: Failures,none | GPT: Failures,meta-awareness",2025-11-04T01:36:37.871570
